graph_id;vertices;edges;density;variant;operations_count;path_length;execution_time_ms
1;6;9;sparse;pure_dag;42;15,90;0,047
2;8;12;sparse;one_cycle;0;0,00;0,015
3;10;15;sparse;two_cycles;3;7,70;0,037
4;12;18;sparse;mixed;93;32,30;0,059
5;16;24;sparse;mixed;101;19,20;0,127
6;20;30;sparse;mixed;144;32,30;0,219
7;25;40;sparse;many_sccs;121;44,70;0,297
8;35;52;sparse;pure_dag;505;27,00;3,009
9;50;106;sparse;many_sccs;309;53,40;0,289
1;6;12;dense;pure_dag;57;18,00;0,171
2;8;28;dense;one_cycle;0;0,00;0,079
3;10;41;dense;two_cycles;3;3,60;0,016
4;12;55;dense;mixed;59;19,10;0,038
5;16;95;dense;mixed;103;26,30;0,035
6;20;128;dense;mixed;251;39,10;0,062
7;25;240;dense;many_sccs;168;36,50;0,027
8;35;488;dense;pure_dag;9453;37,10;0,433
9;50;1063;dense;many_sccs;105;22,80;0,031
