graph_id;vertices;edges;density;variant;operations_count;num_scc;execution_time_ms
1;6;10;sparse;pure_dag;32;6;0,281
2;8;14;sparse;one_cycle;52;1;0,015
3;10;18;sparse;two_cycles;66;2;0,021
4;12;21;sparse;mixed;74;7;0,015
5;16;28;sparse;mixed;99;9;0,023
6;20;36;sparse;mixed;120;11;0,055
7;25;45;sparse;many_sccs;160;8;0,075
8;35;63;sparse;pure_dag;190;35;0,037
9;50;90;sparse;many_sccs;329;6;0,033
1;6;12;dense;pure_dag;34;6;0,028
2;8;28;dense;one_cycle;80;1;0,041
3;10;40;dense;two_cycles;110;2;0,112
4;12;48;dense;mixed;112;5;0,078
5;16;64;dense;mixed;153;6;0,091
6;20;80;dense;mixed;183;8;0,195
7;25;100;dense;many_sccs;224;10;0,031
8;35;140;dense;pure_dag;271;35;0,035
9;50;200;dense;many_sccs;535;9;0,051
