graph_id;vertices;edges;density;variant;operations_count;path_length;execution_time_ms
1;6;9;sparse;pure_dag;11;15,90;0,038
2;8;12;sparse;one_cycle;0;0,00;0,015
3;10;15;sparse;two_cycles;3;7,70;0,016
4;12;18;sparse;mixed;25;18,30;0,029
5;16;24;sparse;mixed;9;10,10;0,035
6;20;30;sparse;mixed;28;13,70;0,036
7;25;40;sparse;many_sccs;23;20,90;0,042
8;35;52;sparse;pure_dag;29;13,40;0,080
9;50;106;sparse;many_sccs;38;13,60;0,037
1;6;12;dense;pure_dag;20;8,90;0,041
2;8;28;dense;one_cycle;0;0,00;0,030
3;10;41;dense;two_cycles;3;3,60;0,015
4;12;55;dense;mixed;25;5,00;0,018
5;16;95;dense;mixed;37;6,60;0,018
6;20;128;dense;mixed;65;8,00;0,015
7;25;240;dense;many_sccs;24;4,10;0,018
8;35;488;dense;pure_dag;696;4,80;0,093
9;50;1063;dense;many_sccs;24;1,90;0,022
