graph_id;vertices;edges;density;variant;num_sccs;shortest_path_length;critical_path_length;total_operations_count;total_execution_time_ms
1;6;10;sparse;pure_dag;6;8,40;15,90;112;0,438
2;8;14;sparse;one_cycle;1;0,00;0,00;54;0,052
3;10;18;sparse;two_cycles;2;8,50;8,50;77;0,070
4;12;21;sparse;mixed;7;5,50;23,40;158;0,098
5;16;28;sparse;mixed;9;19,50;24,40;263;0,178
6;20;36;sparse;mixed;11;24,40;45,90;447;0,189
7;25;45;sparse;many_sccs;8;38,90;48,00;308;0,236
8;35;63;sparse;pure_dag;35;22,20;24,20;852;0,693
9;50;90;sparse;many_sccs;6;19,90;33,40;415;0,315
1;6;12;dense;pure_dag;6;2,30;15,10;138;0,232
2;8;28;dense;one_cycle;1;0,00;0,00;82;0,149
3;10;40;dense;two_cycles;2;3,50;3,50;121;0,207
4;12;48;dense;mixed;5;5,70;23,10;216;0,221
5;16;64;dense;mixed;6;9,10;29,10;310;0,190
6;20;80;dense;mixed;8;4,50;40,50;515;0,364
7;25;100;dense;many_sccs;10;10,30;31,10;677;0,209
8;35;140;dense;pure_dag;35;4,70;30,80;2117;0,899
9;50;200;dense;many_sccs;9;10,90;47,00;812;0,168
