graph_id;vertices;edges;density;variant;operations_count;execution_time_ms
1;6;9;sparse;pure_dag;21;0,007
2;8;12;sparse;one_cycle;2;0,005
3;10;15;sparse;two_cycles;5;0,007
4;12;18;sparse;mixed;25;0,008
5;16;24;sparse;mixed;36;0,012
6;20;30;sparse;mixed;49;0,036
7;25;40;sparse;many_sccs;28;0,043
8;35;52;sparse;pure_dag;122;0,135
9;50;106;sparse;many_sccs;46;0,032
1;6;12;dense;pure_dag;24;0,020
2;8;28;dense;one_cycle;2;0,011
3;10;41;dense;two_cycles;5;0,002
4;12;55;dense;mixed;20;0,002
5;16;95;dense;mixed;27;0,002
6;20;128;dense;mixed;44;0,003
7;25;240;dense;many_sccs;35;0,003
8;35;488;dense;pure_dag;558;0,011
9;50;1063;dense;many_sccs;27;0,002
